Sentence number,Sentence text
41,"We express our gratitude to the UN Secretary General’s Special Representative Staffan de Mistura for his dedicated service, and welcome the Secretary General’s decision to appoint Jan Kubis as his new Special Representative for Afghanistan."
42,We note that the UNAMA mandate is currently under review in line with the increased capacity and ownership exercised by the Government of Afghanistan and consistent with the process of Transition that entails the assumption of leadership responsibility by the Afghan Government.
43,"We also take note with appreciation of the close collaboration of the International Contact Group with the Afghan Government and their work, and encourage them to continue their joint efforts."
44,"

SECURITY 

11."
45,We welcome the determination of the Afghan people to combat terrorism and extremism and take responsibility for their own security and for protecting their homeland.
46,"We share Afghanistan’s vision for its national security forces to be built to modern standards and adequate capacity, so that they can effectively and independently defend Afghanistan."
47,"

12."
48,We welcome the successful start of the Transition process.
49,Afghan authorities are assuming full security responsibility for their country and will complete this process by the end of 2014.
50,"Correspondingly, the International Security Assistance Force (ISAF), authorized by the UN Security Council, has begun a gradual, responsible draw‐down to be completed by that time."
51,"With the conclusion of the Transition process, our common responsibility for Afghanistan’s future does not come to a close."
52,"The International Community, therefore, commits to remain strongly engaged in support of Afghanistan beyond 2014."
53,"

13."
54,We underscore that the international support for sustainable Afghan National Security Forces (ANSF) needs to continue after 2014.
55,"In assistance to the ANSF, the International Community strongly commits to support their training and equipping, financing and development of capabilities beyond the end of the Transition period."
56,"It declares its intent to continue to assist in their financing, with the understanding that over the coming years this share will gradually be reduced, in a manner commensurate with Afghanistan’s needs and its increasing domestic revenue generation capacity."
57,"In this context, we look forward to define a clear vision and appropriately funded plan for the ANSF, which should be developed before the forthcoming NATO summit in Chicago in May 2012."
58,"

14."
59,"We recognise that the main threat to Afghanistan’s security and stability is terrorism, and that this threat also endangers regional and global peace and security."
60,"In this regard, we recognise the regional dimensions of terrorism and extremism, including terrorist safe havens, and emphasise the need for sincere and result‐oriented regional cooperation towards a region free from terrorism in order to secure Afghanistan and safeguard our common security against the terrorist threat."
61,We reiterate our common determination to never allow Afghanistan to once again become a haven for international terrorism.
62,"

15."
63,"The production, trafficking and consumption of narcotics equally pose a grave threat to Afghanistan’s security and the growth of a legitimate economy as well as to international peace and stability."
64,"Recognizing their shared responsibility, Afghanistan and the International Community reiterate their determination to counter, in a comprehensive manner, including by crop eradication, interdiction and promoting alternative agriculture, the menace of illicit drugs, including drug precursors, which causes widespread harm and suffering."
65,We recognise that the narcotics problem is a global challenge which also requires tackling the demand side.
66,"

PEACE PROCESS 

16."
67,We stress the need for a political solution in order to achieve peace and security in Afghanistan.
68,"To ensure enduring stability, in addition to building up Afghanistan’s capacity to defend itself, a political process is necessary, of which negotiation and reconciliation are essential elements."
69,"In addition, the process of reintegration will pave the way for post‐ conflict rehabilitation of Afghan society through improvement of security, community development and local governance."
70,"

17."
71,"We condemn in the strongest terms the assassination of Professor Burhanuddin Rabbani, former President of Afghanistan and Chairman of the High Peace Council."
72,"The International Community welcomes and supports the undeterred peace efforts of the Afghan Government, particularly through the High Peace Council and the Afghanistan Peace and Reintegration Programme."
73,"We also take note of the recommendations of the consultative Traditional Loya Jirga of 16‐19 November 2011, which provided a new impetus to the peace process."
74,18.
75,"Mindful of the relevant UN resolutions, the International Community concurs with Afghanistan that the peace and reconciliation process and its outcome must be based on the following principles: 

(a) The process leading to reconciliation must be 

• truly Afghan‐led and Afghan‐owned;"
76,"as well as 

• inclusive, representing the legitimate interests of all the people of Afghanistan, regardless of gender or social status."
77,"

(b)Reconciliation must contain 

• the reaffirmation of a sovereign, stable and united Afghanistan;"
78,"

• the renunciation of violence;"
79,"

• the breaking of ties to international terrorism;"
80,"

• respect for the Afghan Constitution, including its human rights provisions, notably the rights of women."
81,"

(c) The region must respect and support the peace process and its outcome."
82,An outcome of the peace process respecting the above principles will receive the full support of the International Community.
83,"

ECONOMIC AND SOCIAL DEVELOPMENT 

19."
84,"The International Community shares Afghanistan’s aim of achieving self‐reliance and prosperity through developing its human and resource potential on its path towards sustainable and equitable growth and improved standards of living, and welcomes the Afghan Government’s economic Transition strategy as elaborated in the document Towards a Self‐Sustaining Afghanistan."
85,"Shifting the strategy from stabilisation to long‐term development cooperation, the International Community will continue to support Afghanistan, including in the areas of rule of law, public administration, education, health, agriculture, energy, infrastructure development and job creation, in line with the Afghan Government’s priorities as specified in the National Priority Programmes framework under the Kabul Process."
86,"

20."
87,"As the Afghan government sets priorities, embraces reform and meets its Kabul commitments, including strengthening transparent and accountable public financial management systems and improving budget execution capacity, its partners recommit to meeting the minimum targets set in London and Kabul for aligning international assistance with Afghanistan’s priorities and channeling a growing share of development aid through the government budget."
88,"We welcome the Government of Japan’s intention to host a ministerial conference in July 2012 in Tokyo, which will address, in addition to the coordination of international economic assistance through the Transition period, Afghanistan’s strategy for sustainable development, including aid effectiveness and regional economic cooperation."
89,"

21."
90,"As Transition gathers momentum, we recognise the economic risks identified by the World Bank and the International Monetary Fund, including the economic impact tied to the reduction of the international military presence."
91,"We intend to mitigate this effect, including by increasing aid effectiveness, consistent with the Kabul Process."
92,The International Community shares Afghanistan’s concern that a strategy to address the near‐term effects of Transition must also facilitate the goal of attaining a sustainable market economy in line with the social needs of the population.
93,"

22."
94,The intensive international effort in Afghanistan over the last decade represents a unique engagement.
95,"The International Community’s commitment, both to Afghanistan and to its role in international security, lasts beyond Transition."
96,Transition will reduce the international presence and the financial requirements associated with it.
97,"We recognize that the Government of Afghanistan will have special, significant and continuing fiscal requirements that cannot be met by domestic revenues in the years following Transition."
98,"Therefore, during the Transformation Decade, the International Community commits to directing financial support, consistent with the Kabul Process, towards Afghanistan’s economic development and security‐related costs, helping Afghanistan address its continuing budget shortfall to secure the gains of the last decade, make Transition irreversible, and become self‐sustaining."
99,"

23."
100,"Afghanistan’s long‐term economic growth will, above all, depend on the development of its productive sectors, notably agriculture and mining."
101,"The International Community commits to supporting the development of an export‐oriented agriculture‐based economy, which is crucial for Afghanistan to achieve food security, poverty reduction, widespread farm‐based job creation, and expanding the Government’s revenue generation capacity."
102,"Concerning mining, we welcome the growing interest of international investors in Afghanistan’s mineral wealth but emphasise the need for a regulatory framework to guarantee that this mineral wealth directly benefits the Afghan people."
103,"The International Community supports Afghanistan’s efforts to develop a transparent and accountable regulatory regime, consistent with international best practices, for collecting and managing public resources and preserving the environment."
104,"

24."
105,"We recognise that a vibrant, private sector‐led economy in Afghanistan will require the development of a competitive service industry and a stable financial system, and achieving regional integration through expanding Afghanistan’s trade and transit networks, as well as its regional connectivity."
106,The International Community commits to support Afghanistan’s efforts to put in place and enhance the infrastructure and the relevant regulatory frameworks for the development of trade and transit.
107,"

25."
108,"We emphasize that attracting private investment, including from international sources, are key priorities for activating Afghanistan’s economic potential."
109,"The Afghan Government commits to improving conditions conducive to international investments, inter alia, by implementing the recommendations of the EUROMINES International Investors Forum in Brussels on 26 October 2011."
110,"

REGIONAL COOPERATION 

26."
111,We believe that a stable and prosperous Afghanistan can only be envisioned in a stable and prosperous region.
112,"For the entire region, the rewards of peace and cooperation outweigh those of rivalry and isolation by far."
113,"We endorse Afghanistan’s vision for building strong, sustainable bilateral and multilateral relationships with its near and extended neighbours."
114,"Such relationships should end external interference, reinforce the principles of good‐ neighbourly relations, non‐interference and sovereignty, and further Afghanistan’s economic integration into the region."
115," 

27."
116,We welcome the outcome of the “Istanbul Conference for Afghanistan: Security and Cooperation in the Heart of Asia” of 2 November 2011.
117,"In particular, we take note of the principles concerning territorial integrity, sovereignty, non‐intervention and the peaceful settlement of disputes contained in the Istanbul Process, which we support as a valuable step towards building greater confidence and cooperation in the ‘Heart of Asia’ region."
118,"We call for strict adherence by Afghanistan and its regional partners to these principles, and look forward to the follow‐up Ministerial Conference in June 2012 in Kabul."
119,"

28."
120,"With a view to the long‐term prospects for Afghanistan’s development, we share Afghanistan’s vision of a well‐connected, economically integrated region, where Afghanistan can serve as a land‐bridge connecting South Asia, Central Asia, Eurasia and the Middle East."
121,We support enhanced trade connectivity along historical trade routes to utilize Afghanistan’s economic potential at the regional level.
122,"In this context, we recognize the importance of early implementation of sustainable projects to promote regional connectivity, such as the TAPI gas pipeline, CASA‐1000, railways and other projects."
123,"In this context, we look forward to the 5th RECCA conference to be hosted by the Republic of Tajikistan in Dushanbe in March 2012."
124,"

29."
125,"We acknowledge the burden of Afghanistan’s neighbours, in particular Pakistan and Iran, in providing temporary refuge to millions of Afghans in difficult times and are committed to further work towards their voluntary, safe and orderly return."
126,"

THE WAY FORWARD 

30."
127,"With a view to the future, we underscore that the process of Transition, which is currently underway and is to be completed by the end of 2014, should be followed by a decade of Transformation, in which Afghanistan consolidates its sovereignty through strengthening a fully functioning, sustainable state in the service of its people."
128,"This Transformation Decade will see the emergence of a new paradigm of partnership between Afghanistan and the International Community, whereby a sovereign Afghanistan engages with the International Community to secure its own future and continues to be a positive factor for peace and stability in the region."
129,"

31."
130,"At today’s meeting, Afghanistan laid out its vision of the future: a country that is a stable and functioning democracy, a strong and sustainable state in the service of its people, and a prospering economy."
131,"Embedded in a region that is conducive to prosperity and peace, and enjoying friendly relations with all of its near and extended neighbours, Afghanistan aspires to becoming a contributor to international peace and security."
132,"

32."
133,"With a view to realizing the above vision, the International Community and Afghanistan make firm mutual commitments to continue to working together in a spirit of partnership."
134,"Afghanistan reiterates its commitment to continue to improve governance, while the International Community commits to an enduring engagement with Afghanistan through and beyond 2014."
135,"

33."
136,"Today in Bonn, we solemnly declare a strategic consensus on deepening and broadening the partnership between Afghanistan and the International Community founded at the Petersberg ten years ago."
137,"Building on the shared achievements of the past ten years, and recognising that the security and well‐being of Afghanistan continue to affect the security of the entire region and beyond, Afghanistan and the International Community strongly commit to this renewed partnership for the Transformation Decade."
138,"

Adopted on 5 December 2011 by the Islamic Republic of Afghanistan, the Republic of Albania, the People’s Democratic Republic of Algeria, the Argentine Republic, the Republic of Armenia, Australia, the Republic of Austria, the Republic of Azerbaijan, the Kingdom of Bahrain, the People’s Republic of Bangladesh, the Kingdom of Belgium, Bosnia and Herzegovina, Federative Republic of Brazil, Brunei Darussalam, the Republic of Bulgaria, Canada, the People’s Republic of China, the Republic of Colombia, the Republic of Croatia, the Republic of Cyprus, the Czech Republic, the Kingdom of Denmark, the Arab Republic of Egypt, the Republic of El Salvador, the Republic of Estonia, the Republic of Finland, the French Republic, Georgia, the Federal Republic of Germany, the Hellenic Republic, the Republic of Hungary, the Republic of Iceland, the Republic of India, the Republic of Indonesia, the Islamic Republic of Iran, the Republic of Iraq, Ireland, the Republic of Italy, Japan, the Hashemite Kingdom of Jordan, the Republic of Kazakhstan, the Republic of Korea, the State of Kuwait, the Kyrgyz Republic, the Republic of Latvia, the Lebanese Republic, the Principality of Liechtenstein, the Republic of Lithuania, the Grand Duchy of Luxembourg, the former Yugoslav Republic of Macedonia, Malaysia, the Republic of Malta, the United Mexican States, Mongolia, Montenegro, the Kingdom of Morocco, the Kingdom of the Netherlands, New Zealand, the Kingdom of Norway, the Sultanate of Oman, the Republic of the Philippines, the Republic of Poland, the Portuguese Republic, the State of Qatar, Romania, the Russian Federation, the Kingdom of Saudi Arabia, the Slovak Republic, the Republic of Slovenia, the Republic of South Africa, the Kingdom of Spain, the Kingdom of Sweden, the Swiss Confederation, the Republic of Tajikistan, the Kingdom of Thailand, the Republic of Tunisia, the Republic of Turkey, Turkmenistan, Ukraine, the Oriental Republic of Uruguay, the United Kingdom of Great Britain and Northern Ireland, the United Arab Emirates, the United States of America, the Republic of Uzbekistan, and the Socialist Republic of Viet Nam, as well as the Aga Khan Development Network, the Asian Development Bank, the Conference on Interaction and Confidence‐Building Measures in Asia, the Collective Security Treaty Organisation, the Economic Cooperation Organization, the European Union, the International Monetary Fund, the Islamic Development Bank, the North Atlantic Treaty Organization, the Organisation of the Islamic Cooperation, the Organization for Security and Co‐operation in Europe, the South Asian Association for Regional Cooperation, the Shanghai Cooperation Organisation, the United Nations, and the World Bank Group."
